trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.8, 'e': 0.6899999999999997}",25,0,-188.2139663276291,"{0: 17, 1: 2, 2: 0, 3: 2, 4: 4}",0
63,False,"{'a': 0.8, 'e': 0.6849999999999997}",25,0,-136.7288789508501,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.8, 'e': 0.6799999999999997}",20,7,21.996709373255268,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.6749999999999997}",25,0,-46.18794033564945,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.8, 'e': 0.6699999999999997}",20,0,-95.59151408912354,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.8, 'e': 0.6649999999999997}",25,16,-17.042039135486224,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.6599999999999997}",20,0,-48.07223470684159,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
69,False,"{'a': 0.8, 'e': 0.6549999999999997}",20,0,-116.75514964181447,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.8, 'e': 0.6499999999999997}",20,0,-116.52784394514175,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
71,False,"{'a': 0.8, 'e': 0.6449999999999997}",25,4,-71.49152149459448,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
72,False,"{'a': 0.8, 'e': 0.6399999999999997}",25,12,17.444237618978107,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.6349999999999997}",25,0,13.359064734699054,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.8, 'e': 0.6299999999999997}",20,8,-4.110489544308917,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.6249999999999997}",30,0,-78.93358974580688,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.8, 'e': 0.6199999999999997}",20,0,-59.88127590227015,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.8, 'e': 0.6149999999999997}",20,0,-50.80274053242165,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
78,False,"{'a': 0.8, 'e': 0.6099999999999997}",20,10,-18.18357514906464,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.6049999999999996}",20,0,-32.41340289872482,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
80,False,"{'a': 0.8, 'e': 0.5999999999999996}",20,0,-69.54652652933686,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
81,False,"{'a': 0.8, 'e': 0.5949999999999996}",25,20,8.061639599738132,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
